,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,* Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan ? ,6,,,6,31.1,,,,,,,,
Bahrain,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,
Egypt,1.8,,,,,,1.8,4,,,,,
Iran,1.8,,,1.8,,1.8,1.4,1.4,,,,,
Iraq,4.6,4.6,,,,2.8,,,3.1,0.9,,,
Jordan,4.2,4.2,,2.6,,,2.6,,1.2,,,,
Kuwait,1.4,,,,1.4,,,,1.4,,,,
Lebanon,,,,,,,,,,,,,
Libya,4.3,,,,,4.3,,,,,,,
Morocco,0.7,,,0.7,,,,,,,,,
Occupied Palestinian territory,8.4,8.4,5,6.6,7.6,,,,,,,,
Oman,0.3,,,0.3,0.4,,0.2,,,,1.2,,
Pakistan,1.5,1.5,1.4,,,1.8,,,,1.3,,,1
Qatar,0,,,,,0,,,,,0,,
Saudi Arabia,4.9,4.9,5.1,,4.7,4.2,,2.7,,2.3,,1.3,
Somalia,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,
Syrian Arab Republic,8.9,8.9,,,,3.8,,,,,,,1
Tunisia,,,,,,,,,,,,,
United Arab Emirates,4.2,,,4.2,5.1,6.2,,,2.6,2.6,,,
Yemen,,,,,,,,,,,,,
