,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,4,,,4,,3.9,,4,5,,,5.3,
Bahrain,17.8,,,,17.8,17.2,,18.9,19.5,20.3,,20.8,
Djibouti,,,,,,,,,,14,14,,14.2
Egypt,12.5,,12.5,,,,,14.3,,,15.6,,
"Iran, Islamic Republic",17.8,,,17.8,16.2,,15.6,15,15,15,,,
Iraq,1.3,1.3,,12,,13.2,13,,13.8,13,,,
Jordan,14,14,14,14,14,14.7,14,13.8,18.9,18,,,
Kuwait,21,,21,19,19.3,,,,20.4,,22,,
Lebanon,27.3,,,,,,27.3,33.7,,28.6,28.5,,
Libya,32,32,,,,32,,,,,37,,37
Morocco,10.7,10.7,10.3,10,,10,,,,11,,8.5,
Occupied Palestinian territory,14.9,14.9,12.8,12.9,13.3,13.2,12.8,12.8,13.1,12.5,,,
Oman,15.7,15.7,15.6,,14.8,14.7,14.9,15.6,15.8,17.1,,,
Pakistan,10.1,10.1,,5.8,6.3,,,,,6.3,6,6,
Qatar,13,13,,11.2,,12.3,,,,12,14,,
Saudi Arabia,22.6,22.6,22.4,22.5,22.5,22.4,22.3,22,26.5,22,,,
Somalia,,,,,,,,,,8.7,,8.7,
Sudan,6.6,6.6,,,6.6,,7.4,6.7,8,,,8.2,
Syrian Arab Republic,14.3,14.3,13.9,13.9,12.6,14,14.6,,14.7,,15,,
Tunisia,24.3,,,24.3,24,,,,,21.8,,21.8,
United Arab Emirates,19.4,,19.4,17.9,,14.4,13.8,13.6,11,,11.5,,
Yemen,5.9,,,5.9,0.1,,,,,7.1,,,
