,Year,Year,Year,Year,Year,Year,Year,Year
Country,2020,2019,2018,2017,2016,2015,2014,2013
Afghanistan,88.1,88.1,88.1,88.1,,,,
Bahrain,81,81,81,81,,,,
Djibouti,85.2,85.2,85.2,85.2,,,,
Egypt,87.5,87.5,87.5,87.5,83.5,83.5,83.5,83.5
Iran,56.4,56.4,56.4,56.4,48.7,,,
Iraq,85,85,85,85,80,80,80,80
Jordan,84.8,84.8,84.8,84.8,,,,
Kuwait,84.3,84.3,84.3,84.3,79.1,79.1,79.1,79.1
Lebanon,82.1,82.1,82.1,82.1,65.4,65.4,65.4,65.4
Libya,83.2,83.2,83.2,83.2,,,,
Morocco,87.3,87.3,87.3,87.3,,82.6,82.6,82.6
Occupied Palestinian territory,,,,,,78.6,78.6,78.6
Oman,88.3,83.8,83.8,83.8,,77.8,77.8,77.8
Pakistan,,86.9,86.9,86.9,,,84.5,84.5
Qatar,88,88,88,88,85,85,85,85
Saudi Arabia,,,,,,,,
Somalia,,,,,,,,
Sudan,90.3,90.3,90.3,90.3,89,89,89,89
Syrian Arab Republic,87.5,87.5,87.5,87.5,,84.9,84.9,84.9
Tunisia,81.5,81.5,81.5,81.5,,,,81.5
United Arab Emirates,81.9,81.9,81.9,81.9,73.7,72.5,72.5,80.8
Yemen,86.4,86.4,86.4,86.4,,,,84.8
