,Year,Year,Year,Year,Year,Year,Year,Year
Country,2020,2019,2018,2017,2016,2015,2014,2013
Afghanistan,26.5,,,,,,,
Bahrain,,,,,,,,
Djibouti,,,,,,,,
Egypt,31,31,31,31,32.3,32.3,32.3,32.1
Iran,33.2,33.2,33.2,33.2,33.5,33.5,33.5,39
Iraq,52,52,52,52,49.3,49.3,49.3,
Jordan,25,,,,15.6,15.6,15.6,
Kuwait,60.9,60.9,60.9,67,56.6,56.6,56.6,
Lebanon,61,36.4,36.4,36.4,38.8,38.8,38.8,45.8
Libya,36.4,36.4,36.4,36.4,38,38,38,43.9
Morocco,21.1,26.2,26.2,26.2,,,,
Occupied Palestinian territory,75.3,75.3,75.3,75.3,46.5,46.5,46.5,46.5
Oman,38.6,32.9,32.9,32.9,,,,
Pakistan,41.5,41.5,41.5,41.5,26,26,26,
Qatar,36.8,36.8,36.8,36.8,41.6,41.6,41.6,45.9
Saudi Arabia,82.1,85.1,85.1,53.1,61,61,61,
Somalia,,,,,,,,
Sudan,14.1,,,,,,,
Syrian Arab Republic,,,,,,,,
Tunisia,30.4,30.4,30.4,30.4,23.5,23.5,23.5,
United Arab Emirates,70.8,70.8,70.8,38,38.4,38.4,38.4,
Yemen,,,,,,,,
