,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010
Afghanistan,5.3,,4.4,5.3,5.3,,5.3,,,4.6,,
Bahrain,4.8,,,4.8,,4.9,,,5.9,6.7,6.7,
Djibouti,,,,,,,,,,,,
Egypt,5.9,,,5.9,5.9,,5.9,9.2,,7.9,,
Iran,21.2,,,21.2,19.9,,19.9,21.7,,23.3,,
Iraq,13.5,13.5,11.2,13,15,,12.7,,,17.9,,
Jordan,6,,6,7.7,6.4,,7.7,7.9,,11.7,,
Kuwait,7.7,,7.7,10,10,,,,22.6,,12.8,
Lebanon,,,,,,,,9.9,,,,
Libya,37.1,,,37.1,37.1,31.6,37.1,,,60.1,,
Morocco,8.4,,8.4,9.4,11,,11,,,11.6,,
Occupied Palestinian territory,3.9,3.9,2.8,4.4,5.4,,5.4,4.9,,4.9,,
Oman,9.6,9.6,8.1,11,13.8,14.1,,16.2,,23.6,,
Pakistan,13,,,13,2.4,,2.4,,,,,
Qatar,5.4,,5.4,5.5,7.1,6.5,,9.6,,13.7,,
Saudi Arabia,13.2,,13.2,16.8,17.7,,28.5,,,25.5,,
Somalia,,,,,,,,,,,,
Sudan,0.3,,,0.3,,,6,6,,6.5,,
Syrian Arab Republic,2.3,,2.3,3.5,3.5,,3.5,,,,,9.2
Tunisia,10.4,,,10.4,12.8,,12.8,12.8,,13.8,,
United Arab Emirates,3.1,,3.1,3.8,3.8,,6.1,,,6.5,,
Yemen,,,,,,,,,,,,
