,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Afghanistan,30,,,30,57.2,,,,,,,
Bahrain,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,
Egypt,11.5,,,,,,11.5,9.5,,,,
Iran,7.3,,,7.3,,7.3,8.4,16.3,,,,
Iraq,24,24,,,,20.3,,,13.9,0.6,,
Jordan,17.3,17.3,,6.2,,,6.2,,15,,,
Kuwait,0.2,,,,0.2,,,,3,,,
Lebanon,,,,,,,,,,,,
Libya,2,,,,,2,,,,,,
Morocco,5.7,5.7,9.7,,,10.6,,,,,,
Occupied Palestinian territory,52.4,52.4,29,43.1,33.7,,,,,,,
Oman,2.2,,,2.2,14,,2,,,,10.8,
Pakistan,13.7,13.7,5.3,,,4.6,,,2.5,,,1
Qatar,2.3,,2.3,,,3.9,,,,,1,1.2
Saudi Arabia,11,11,6.1,,7.8,6.5,,6.6,,1.6,,1.6
Somalia,,,,,,,,,,,,
Sudan,,,,,,,,,,,,
Syrian Arab Republic,5.7,5.7,,,,2.6,,,,,,
Tunisia,,,,,,,,,,,,
United Arab Emirates,4.2,,4.2,4,4,5.1,,,3.6,3.6,,
Yemen,,,,,,,,,,,,
