,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,* Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,0.3,,,0.3,0.4,0,0.1,,0.1,,0.1,,
Bahrain,6.5,,6.5,,,3.7,,4,4.2,4.4,4.5,,
Djibouti,,,,,,,,,,,,,0.2
Egypt,2.1,,,,2.1,,1.9,1.8,1.7,1.6,,,
Iran,4,,,,4,,3.3,3.3,3.6,3.5,,,
Iraq,4.6,,4.6,3.7,3.1,2.8,2.4,,2.2,2.1,,,
Jordan,8,8,7.7,6.7,7.2,7.1,7.1,7.1,10.3,10.4,,,
Kuwait,8.1,,8.1,7.3,7.2,,,,6,,5,,
Lebanon,12.5,,12.5,15.6,15.6,15.2,15.1,12.9,12.9,12.6,,,
Libya,5.8,,5.8,,8.8,8,,8,,7,6,,
Morocco,1.4,1.4,1.1,,,1,,1.4,,,,,
Occupied Palestinian territory,8.3,8.3,8.1,7.3,7.1,7.1,6.6,5.7,6.6,6.3,,,
Oman,3.6,3.6,3.2,3.2,3.1,3,2.8,2.8,2.6,2.3,,,
Pakistan,0.1,0.1,1.2,,1,1,,0.9,,,,1,
Qatar,7.5,7.5,,6.5,6.3,5.4,,,7,6.2,9.7,,
Saudi Arabia,6.7,6.7,5.6,6.5,5,4.8,4.4,4.3,4.1,4.2,,,
Somalia,,,,,,,,,,,,,
Sudan,2.5,,2.5,2.2,2.1,0.1,,2.1,1.6,0.1,,,
Syrian Arab Republic,10,10,8.3,,6.8,6.6,6.8,,7.6,,7.2,,
Tunisia,4.8,,,4.8,0.5,3.1,,3.1,,3.9,,,
United Arab Emirates,7.4,,7.4,6.9,,6,5.7,5.4,4.4,3.4,4.5,,
Yemen,0.2,,0.2,,0.2,0.4,,,0.2,1,,,
