,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,* Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,0.3,,,0.3,0.7,0.1,0.3,,0.3,,0.3,,
Bahrain,9.5,,9.5,,,5.4,,5.7,5.8,6,6.2,,
Djibouti,,,,,,,,,,,,,2.2
Egypt,4.9,,,,4.9,,4.1,3.9,3.4,3,,,
Iran,3,,,,3,,2,2,2.3,2.3,,,
Iraq,5.2,,5.2,4,3.3,3.3,2.6,,2.4,2.2,,,
Jordan,13.5,13.5,13.7,11.3,13.1,15.6,15.5,13.5,18.3,17.8,,,
Kuwait,9,,9,9.4,6.9,,,,9,,6.1,,
Lebanon,16.3,,16.3,20.3,19.8,18.9,18.2,,17.5,16.8,,,
Libya,4.1,,4.1,,6.2,6,,5,,6,6,,
Morocco,2.7,2.7,2.6,,,2.6,,,,0.1,,2.7,
Occupied Palestinian territory,17.2,17.2,11.5,11.4,11.2,10.9,10,9.7,12.7,12.9,,,
Oman,6.2,6.2,6.3,5.7,5.9,5.4,5.5,5.1,4.9,4.6,,,
Pakistan,2,2,,1.6,1.6,1.6,,,,,1.4,1.4,
Qatar,11.5,11.5,,9.7,9,7.6,,,9.4,10.1,6.3,,
Saudi Arabia,9,9,7.9,9.3,8.7,8.7,7.9,7.5,7.2,7.3,,,
Somalia,,,,,,,,,,,,,
Sudan,7,,7,6.2,2.4,0.3,,4.4,4,1.5,,,
Syrian Arab Republic,15,15,2.1,1.2,9.6,11.4,10.1,,12.7,,9.3,,
Tunisia,2.4,,,2.4,2.3,2.3,,2.3,,2.3,,,
United Arab Emirates,12,,12,12.4,,8.5,7.5,5.7,4,4,4.6,,
Yemen,1,,1,,1,1.1,,,1,1.1,,,
