,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,* Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Afghanistan,3.5,,,3.5,4,1.9,1.6,,2.7,,2.9,,,
Bahrain,24.8,,24.8,,,22.6,,24,25.3,27.6,27.9,,,
Djibouti,,,,,,,,,,,,,2.1,
Egypt,8.2,,,,8.2,,8.5,8.1,8.4,8.5,,,,
Iran,15.4,,,,15.4,,11.4,11.4,15.1,15.2,,,,
Iraq,10.3,,10.3,9.3,9.1,9.4,8.4,,8.4,8.8,,,,
Jordan,32,32,27.8,27,23,22.6,14.1,22.2,29.4,28.6,,,,
Kuwait,28.6,,28.6,25.7,25.3,,,,29,,27,,,
Lebanon,26.8,,26.8,33.3,31.2,31.3,31,32,30.7,31.9,,,,
Libya,15.3,,15.3,,22.9,20,,19.5,,20,20,,,
Morocco,7.4,7.4,7.2,7.1,,6.7,,,,6.3,,,,
Occupied Palestinian territory,21.6,21.6,22.4,22.6,21.5,17.7,21.7,21.5,21.5,23.5,,,,
Oman,19.9,19.9,19.7,20.8,21,20,19.6,21.4,21.7,19.9,,,,
Pakistan,11.6,11.6,10.8,,9.6,9.8,,9.6,,,,8,,
Qatar,30.4,30.4,,27.3,25,21.1,,,24.9,21.3,25.3,,,
Saudi Arabia,29.2,29.2,27.2,27.6,26.4,25.3,23.9,27.5,26.5,26.8,,,,0.3
Somalia,,,,,,,,,,,,,,
Sudan,25.2,,25.2,23.1,2.8,1.9,,4.1,25.1,4.2,,,,
Syrian Arab Republic,14,14,14.1,14,11.7,11.6,12.2,,13.3,,15.8,,,
Tunisia,13.2,,,13.2,13.1,13,,13,,16.8,,,,
United Arab Emirates,28.8,,28.8,26.7,,24.8,24.3,22.3,20.2,17.1,17.8,,,
Yemen,1.7,,1.7,,1.7,1.8,,,3,3,,,,
