,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,* Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,28,,,28,66.3,,,,,,,,
Bahrain,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,
Egypt,12,,,,,,12,11.1,,,,,
Iran,5.3,,,5.3,,5.3,3.9,4.6,,,,,
Iraq,10.3,10.3,,,,9.4,,,4.9,0.5,,,
Jordan,19.8,19.8,,10.2,,,10.2,,14.4,,,,
Kuwait,1.7,,,,1.7,,,,2.2,,,,
Lebanon,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,
Morocco,3.8,,,3.8,,2.8,,,,,,,
Occupied Palestinian territory,7.8,7.8,7.5,16.8,14.6,,,,,,,,
Oman,0.7,,,0.7,7.2,,0.8,,,,5.3,,
Pakistan,7,7,6.5,,,7.5,,,,,,6,5.5
Qatar,1.3,,1.3,,,1.8,,,,,2,2.1,
Saudi Arabia,12,12,6,,6.3,6.9,,7.7,,6.1,,6.1,
Somalia,,,,,,,,,,,,,
Sudan,1,,,,,,,,1,,,,
Syrian Arab Republic,17.6,17.6,,,,3.4,3.2,,,,,,2
Tunisia,,,,,,,,,,,,,
United Arab Emirates,4.5,,4.5,4.4,4.8,4.8,,,8.4,8.4,,,
Yemen,,,,,,,,,,,,,
