,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Afghanistan,,,,,,5.1,,,5.3,,4.9,5.1,,,
Bahrain,1.7,,1.7,,,1.8,1.9,,2.1,2.1,2.1,2.1,,,
Djibouti,,,,,,,,,,,3.4,,,,
Egypt,2.9,2.9,,,,,,,,3.5,2.8,2.8,,,
Iran,,,,,,,,2.1,1.9,,1.9,,,,
Iraq,3.3,3.3,,4,3.9,3.9,4,4,,,4.1,,4.6,,
Jordan,,,,,2.7,2.7,2.7,3.4,3.5,,3.2,3.3,,,
Kuwait,1.5,,1.5,,1.1,,1.8,,1.8,1.7,2.6,2.6,,,
Lebanon,,,,,,,1.8,,,,1.5,,,,
Libya,3.9,3.9,,,,,,,,3.4,2.4,,,,
Morocco,,,,,,2.4,2.4,,2.2,2.2,2.7,,2.6,,
Occupied Palestinian territory,4,,,4,3.8,,4.4,4.1,4.1,4.1,,,,,
Oman,2.3,2.3,,3.6,3.7,3.9,4,4,4,,3.9,2.9,,,
Pakistan,3.7,,,3.7,,3.6,3.6,,,,3.8,3.8,,,
Qatar,1.5,1.5,,1.7,1.7,,1.8,1.9,2,2,2,,,,
Saudi Arabia,2.1,2.1,,,,1.9,2,2.4,2.7,,2.6,,,,
Somalia,6.9,,,6.9,,,,,6.4,,6.6,,,,
Sudan,5.2,,,5.2,,,,,,5.2,4.4,,,,
Syrian Arab Republic,3.5,,,3.5,2.8,,,,,,3,,,,3
Tunisia,2.2,,,2.2,,2.1,2.2,2.3,,2.4,2,2,,,
United Arab Emirates,,,,,2.3,2.3,2.3,1.5,,,1.8,1.8,,,
Yemen,4.3,,,4.3,,,,,,,4.4,,,,
