,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender,Reference Year  /  Gender
Country,2023,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Afghanistan,65.3,,65.3,65.3,,,62.7,60.5,,61,60
Bahrain,77.2,,77.2,,77.2,77.2,,76.9,,77,77
Djibouti,63.8,,,,,,63.8,63.5,,62,61
Egypt,74.3,,74.3,,72.6,70.5,,73.2,,71,71
Iran,75.7,,,75.7,,,75.7,75.5,,74,74
Iraq,72.5,72.5,71,71.4,71.1,,,68.9,,70,70
Jordan,73.3,,,73.3,73.5,73.3,,74.1,,74,74
Kuwait,78.5,,78.5,81.8,82.1,,,74.7,,78,78
Lebanon,76.3,,,,,,76.3,74.9,,80,80
Libya,79.3,,79.3,,,83,72,72.7,,75,75
Morocco,76.6,,76.6,,,,,75.8,,71,71
Occupied Palestinian territory,74.2,74.2,74,74,,73.8,73.5,73.5,73.2,,72.9
Oman,74.1,74.1,75.7,77.2,77,,,76.6,,76,76
Pakistan,66,,,66,,68,,66.4,,66,65
Qatar,80.6,80.6,80.5,81.8,80.7,,,78.2,,79,79
Saudi Arabia,75,,,,75,,,74.5,,76,76
Somalia,,,,,,56.7,,55,,54,53
Sudan,65.1,,,,,,65.1,64.1,,63,63
Syrian Arab Republic,72.2,,72.2,73,,,63.8,64.5,,76,68
Tunisia,77,,77,,75,75.4,,75.3,,76,76
United Arab Emirates,79.7,,,,79.7,79.7,,77.1,,77,76
Yemen,64,,,,64,,,65.7,,64,64
