,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Afghanistan,2.1,,2.1,2.1,,3.3,,,,2,2,,,,
Bahrain,0.8,,0.8,,0.1,5.4,,,,4.9,,,5.8,,
Djibouti,,,,,,,,,,,1.5,,,,
Egypt,15.6,,15.6,,,,,2.4,,2.5,,,,,
Iran,,,,,,,1.2,,,1.2,,1.3,,,
Iraq,2.3,2.3,2,2,2.5,2.2,2.7,2.5,3,3.2,,,,,
Jordan,2.3,,2.3,2.3,2.4,2.3,2.4,5.3,2.2,2.2,,,,,
Kuwait,8.7,,8.7,9.9,10.8,,,12.6,13.7,13.6,14.1,,,,
Lebanon,1.2,,1.2,1.4,1.4,1.5,1.5,1.4,1.6,1.6,,,,,
Libya,2,2,2,,2,3,2,,,,1.8,,,2.8,
Morocco,1,1,1.1,1.1,,1.1,,,1.2,1,,,,,
Occupied Palestinian territory,2.4,2.4,3,3,2.6,,2.8,2.9,2.9,2.9,,,,,
Oman,-1.7,-1.7,0.3,,2.9,3.2,,3.1,3.6,3.1,,,,,
Pakistan,2,,2,2.1,0.3,2.4,2.4,,,2,,,,,
Qatar,-3.1,-3.1,1.2,1.2,1.3,4.1,,9.5,10.6,9.3,5.8,,,,
Saudi Arabia,2.4,,2.4,2.4,2.4,2.5,2.5,1.9,2.6,2.7,,,,,
Somalia,2.9,2.9,,,,,,,2.9,,2.9,,,,
Sudan,2.5,,2.5,,2.5,,2.8,,30.8,,,,,,2.5
Syrian Arab Republic,2.4,,2.4,,2.2,,,,,,,,2.5,,
Tunisia,1,1,1,,1,1.2,1.4,,,,1.3,,,,
United Arab Emirates,1,,1,1.5,,2,1,1,,,3.1,4.9,,,
Yemen,3.4,,3.4,,3.4,3.1,,,,3,,,,,
