,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex
Country,2020,2019,2018,2017,2016,2015,2013
Afghanistan,0,,,,,,0
Bahrain,21.9,21.9,21.9,21.9,21.9,30.3,25
Djibouti,9.9,9.9,9.9,9.9,9.9,,
Egypt,22.2,22.2,22.2,22.2,22.2,23.8,26
Iran,10,10,10,10,10,11.7,14
Iraq,18,,,,,,18
Jordan,38.4,38.4,38.4,38.4,38.4,38.4,26
Kuwait,18.5,18.5,18.5,18.5,18.5,,19
Lebanon,25.1,25.1,25.1,25.1,25.1,37,32
Libya,23,,,,,,23
Morocco,11.3,18.6,18.6,18.6,18.6,22,17
Occupied Palestinian territory,20.2,,,,20.2,20.2,20.2
Oman,9.1,9.1,9.1,9.1,9.1,13.5,8
Pakistan,16.2,16.2,16.2,16.2,16.2,22.6,23
Qatar,16.4,16.4,16.4,16.4,16.4,,
Saudi Arabia,10.2,14.1,14.1,13,13,17.1,22
Somalia,,,,,,,
Sudan,9.6,,,,,,13
Syrian Arab Republic,28,,,,,,26.5
Tunisia,28.3,28.3,28.3,28.3,28.3,?,32
United Arab Emirates,9.1,9.1,9.1,22.9,22.9,?,25.4
Yemen,14.3,14.3,14.3,14.3,14.3,?,23
