,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex,Year  /  Sex
Country,2020,2019,2018,2017,2016,2015,2013
Afghanistan,9.8,,,,,8.6,9.8
Bahrain,17.7,17.7,17.7,17.7,17.7,,
Djibouti,19,15.2,15.2,15.2,15.2,17.5,19
Egypt,13.6,13.6,13.6,13.6,13.6,5.1,5.1
Iran,5.9,,,5.9,5.9,5.9,
Iraq,14.1,14.1,14.1,14.1,14.1,8.7,13.4
Jordan,24,24,24,24,24,24,26.1
Kuwait,16.7,16.7,16.7,11.6,11.6,17,17
Lebanon,36.2,11.3,11.3,11.3,11.3,11.3,36.2
Libya,8.1,,,,,8.1,8.1
Morocco,6,6,6,6,6,8.8,9.5
Occupied Palestinian territory,17.3,17.3,17.3,17.3,17.3,21.3,21.3
Oman,6,,,,,3.3,3.3
Pakistan,12,10.7,10.7,10.7,10.7,10.7,9.8
Qatar,12.1,12.1,12.1,15.7,15.7,15.7,29.9
Saudi Arabia,14.9,,,,,14.9,14.9
Somalia,9.5,,,,,,9.5
Sudan,10.3,11.7,11.7,11.7,11.7,8.8,8.8
Syrian Arab Republic,24.5,,,,,24.5,24.5
Tunisia,11.7,,,,,11.4,11.4
United Arab Emirates,12.7,12.7,12.7,12.2,12.2,12.5,14
Yemen,18.7,18.7,18.7,18.7,18.7,18.7,14.1
