,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,
Afghanistan,"33,569",,"33,569","33,569","31,575","31,575",,,"29,200","28,500","28,100",,,
Bahrain,"1,504",,"1,504",,"1,503",,"1,501","1,370",,"1,315",,"1,200",,
Djibouti,988,988,974,,959,,,,,,860,,,
Egypt,"100,604",,"100,604",,,,"92,115","91,023","88,958","86,814","84,628",,,
Iran,,,,,,,,"79,926","78,773","78,773","76,942",,,
Iraq,"41,190",,"41,190","40,150","39,128","38,124","37,140","37,883","36,934","36,004","35,095",,,
Jordan,"11,057",,"11,057","10,806","10,554","10,309","10,053","9,798","9,532","6,675","6,530",,,
Kuwait,"4,628",,"4,628",,"4,651","4,564",,,"4,184","4,039",,"3,806",,
Lebanon,"5,642",,"5,642","4,594","4,547","4,485","4,421","4,356","4,292","4,232","4,168",,,
Libya,"7,680",,"7,680","6,931","6,692","6,588","6,545","6,384","6,246","6,136","6,028",,,
Morocco,"36,313",,"36,313","35,951","35,587","35,220","34,852",,"34,125","33,848","32,950",,,
Occupied Palestinian territory,"5,227",,"5,227","5,101","4,977","4,854","4,706","4,816","4,682","4,550","4,485",,,
Oman,"4,527",,"4,527","4,603","4,618","4,602","4,560","4,414","4,159","3,993","3,855",,,
Pakistan,"231,914",,"231,914","227,780","222,986",,"207,684",,"189,900",,"184,350",,,
Qatar,"2,748",,"2,748","2,833","2,799","2,760","2,725","2,618","2,438","2,216","2,003",,,
Saudi Arabia,"34,111",,"34,111","35,013","34,218","33,414","32,552","31,742","31,521","30,770","29,994",,,
Somalia,"15,893",,"15,893",,,,,,,"12,316","10,195",,,
Sudan,"41,139",,,"41,139","41,985","41,985","40,783","39,599","38,435","36,160","36,163",,,
Syrian Arab Republic,"22,922",,,"45,322","22,146","21,901","24,422",,,"22,712",,"21,639",,
Tunisia,"11,936",,"11,936","11,708","11,551","11,435","11,446",,"11,154",,,"10,778",,
United Arab Emirates,"9,365",,"9,365",,"9,503","9,304","9,121","9,121",,"9,086",,"9,206","9,346",
Yemen,"30,416",,"30,416","30,416",,"28,170","27,426",,,,"25,235",,,
