,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Afghanistan,,,,,,,,,,2,,,,,
Bahrain,1.3,,,,1.3,1.3,,,,,1,,,,
Djibouti,,,,,,,,,,,,,,,
Egypt,,,,,,,,,8.5,,,,,,
Iran,0.6,,,,,0.6,,,,1.9,,,1.9,,
Iraq,,,,,,,,,,,,6,,,
Jordan,2.2,,2.2,2.2,,,,,,,,,,,
Kuwait,2.7,,,2.7,3.7,,,,2.1,2.1,,,,,
Lebanon,,,,,,,,6.3,,,,3.3,,,
Libya,,,,,,,,10.5,10.5,,,,,,
Morocco,2.9,,,,2.9,2.8,,,,,2.4,2.4,,,
Occupied Palestinian territory,,,,,,,,,,1.9,,,,,
Oman,1.1,,,,,1.1,,,,,,0.5,,0.5,
Pakistan,,,,,,,,,,,2.8,,,,
Qatar,2.2,2.2,2.4,,,,2.5,,,2.3,,,14,,
Saudi Arabia,4.1,,4.1,0.7,0.7,0.2,,,,,,,11,,
Somalia,,,,,,,,,,,,,,,
Sudan,0.9,,,,0.9,,,,,,,,,,
Syrian Arab Republic,0.9,,,0.9,,0.7,,,,,,7.2,,7.2,
Tunisia,6.5,,,,6.5,,,,,2.3,2.3,,,,
United Arab Emirates,,,,,,,,,,,,,,,7.7
Yemen,,,,,,,,,0.4,,,,,,
