,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,* Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Afghanistan,4,,,,4,,,,,5.4,,,,,
Bahrain,4.9,,,,4.9,4.9,,,,,2,,,,
Djibouti,,,,,,,,,,8.1,8.1,,,,
Egypt,20.4,,,,20.4,,,,15.7,,,21.5,,,
Iran,2.9,,,,,2.9,,,,11.8,,,4.9,,
Iraq,7,,,,7,,,,,,11.8,11.8,,,
Jordan,7,,7,7,,,,,,4.4,4.4,,,,
Kuwait,5.9,,,5.9,7.9,,,6,5.7,5.7,,,,,
Lebanon,,,,,,,,16.7,,,,16.7,,,
Libya,,,,,,,,22,30,,,,,,
Morocco,10.8,,,,10.8,10.8,,,,,10.7,10.7,,,
Occupied Palestinian territory,8.6,,8.6,,,,,,8.2,5.3,,,,,
Oman,3.1,,,,,3.1,,,4.4,,,1.7,,1.7,
Pakistan,2.5,,,,2.5,2.5,,,,,6.4,,,,
Qatar,9.7,9.7,8,,,,8.3,,,12.9,,,12.9,,
Saudi Arabia,8.3,,8.3,2.6,8.1,,9.1,,1.5,,,,6.1,,
Somalia,3.2,,,3.2,,,,,,,,,,4.7,
Sudan,2.4,,,,2.4,,,,3,,,,2.9,,
Syrian Arab Republic,4.6,,,4.6,,0.7,,,17.9,,,17.9,,,
Tunisia,17,,,,17,,17.2,,,14.3,14.3,,,,
United Arab Emirates,,,,,,,,,,,,,,,7.7
Yemen,,,,,,,,,2,2,,,,,
