,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Afghanistan,5,,,,5,,,,,9.5,,,,,
Bahrain,2.6,,,,2.6,3.2,,,,,2.1,,,,
Djibouti,,,,,,,,,,17.8,21.5,,,,
Egypt,,,,,,,,,9.5,,,7.9,,,
Iran,4.3,,,,,4.3,,,,3,,,3,,
Iraq,2,,,,2,,,,7.4,,,7.4,,,
Jordan,0.6,,0.6,0.6,,,,,,2.4,2.4,,,,
Kuwait,2.1,,,2.1,2.6,,,3.1,2.7,2.7,,,,,
Lebanon,,,,,,,,6.6,,,,6.6,,,
Libya,,,,,,,,6.5,12,,,,,,
Morocco,2.6,,,,2.6,2.9,,,,,,3,,,
Occupied Palestinian territory,1.3,,1.3,,,,,,1.2,4.4,,,,,
Oman,9.3,,,,,9.3,,,7.5,,,7.1,,7.1,
Pakistan,7.1,,,,7.1,7.1,,,11,10.5,14.8,,,,
Qatar,2,2,1.7,,,,2.8,10.1,,,,,10.1,,
Saudi Arabia,3.3,,3.3,3.8,4.8,4.1,,11.8,,,,,11.8,,
Somalia,12,,,12,,,,13.2,,,,,,13.2,
Sudan,13.6,,,,13.6,,,,33,,,,16.4,,
Syrian Arab Republic,1.7,,,1.7,0.4,,,,7.2,,,11.5,,,
Tunisia,2,,,,2,,,2.8,,,2.8,,,,
United Arab Emirates,0.7,,,0.7,,,,,,,,,,,
Yemen,,,,,,,,,16.3,16,,,,,
